SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.012449590998472744  , 0.012091719436084813  , 0.12667022263107164
-5.0         , 0.25077560041262753   , 0.24598485283230942   , 0.08376913786838273
-5.0         , 0.01942390338681138   , 0.019162043036264707  , 0.05894698030796328
-5.0         , 0.31310572196403264   , 0.31082179077088357   , 0.03179546099283813
-5.0         , 0.09049325647836097   , 0.08955431010629315   , 0.04529724368506249
-5.0         , 0.03283425901430751   , 0.03232813120280934   , 0.06746619802549056
-5.0         , 0.04716164168955595   , 0.046048550419244855  , 0.10372950992702679
-5.0         , 0.04896399251581366   , 0.049050752965375255  , -0.007688556277570557
-5.0         , 0.08866989798712639   , 0.08682533479610555   , 0.09129742204637051
-5.0         , 0.22076278003269745   , 0.21770154547714424   , 0.060643422969296035
-5.0         , 0.08122001680117899   , 0.08064145935379859   , 0.031046964715333483
-5.0         , 0.3118854466599867    , 0.30925348114504186   , 0.03680512972891405
-5.0         , 0.27172699231738334   , 0.2676658653505016    , 0.06539791303464713
-5.0         , 0.010726366932438065  , 0.01032138639687324   , 0.16714612591272393
-5.0         , 0.13729074883805556   , 0.13581933678121363   , 0.04679668408632252
-5.0         , 0.10187578046205675   , 0.10152169984544258   , 0.015120680261179301
-5.0         , 0.4553143843755701    , 0.4532984944838409    , 0.01927094173936948
-5.0         , 0.10973471541559594   , 0.10866752293646686   , 0.042442742079645226
-5.0         , 0.15955862310129376   , 0.15854038927052358   , 0.027803597443733036
-5.0         , 0.008422713807372915  , 0.008599293110522504  , -0.09010708118711158
-5.0         , 0.0824416822391786    , 0.0815698054192335    , 0.046174187439859925
-5.0         , 0.24828837567155895   , 0.2478444137009174    , 0.007772527420836065
-5.0         , 0.01264027182818027   , 0.012380435190676628  , 0.09020502471690423
-5.0         , 0.21025182974874598   , 0.2068701370363126    , 0.07041981862677822
-5.0         , 0.2771680354887239    , 0.2757353975150192    , 0.022506214352912786
-5.0         , 0.054974239886093935  , 0.05511866421768446   , -0.01139450843872758
-5.0         , 0.08290791359646849   , 0.0814683721735735    , 0.0760694740365697
-5.0         , 0.027107768358771166  , 0.025581911987677692  , 0.25160765401654756
-5.0         , 0.044283802645928926  , 0.04360974770119965   , 0.0666133251017584
750
-5.0         , 0.3323572484184764    , 0.3302081406407043    , 0.028173790469349286
-5.0         , 0.062349870370491535  , 0.06224225290589905   , 0.007502510018001181
-5.0         , 0.017696404434769396  , 0.01842641888945346   , -0.1755590466266875
-5.0         , 0.09606778350922512   , 0.0955707518697572    , 0.0225276802425887
-5.0         , 0.2566806148965361    , 0.2558277553262692    , 0.014454107234993692
-5.0         , 0.07296677072865584   , 0.07267568086996416   , 0.017360170240642764
-5.0         , 0.007246294603663799  , 0.006822378745773863  , 0.26180160943587716
-5.0         , 0.03685684438376877   , 0.03742933892746483   , -0.06694007756479514
-5.0         , 0.028194355264602743  , 0.028636206502195397  , -0.06753317759543986
-5.0         , 0.5422918549403891    , 0.5362850253372737    , 0.04837411165683038
-5.0         , 0.05046443528028316   , 0.050696549836034534  , -0.01992986674131618
-5.0         , 0.041543475623247     , 0.041052312906528964  , 0.05165197300595102

-5.0         , 0.0784912913329255    , 0.07728922323426933   , 0.06702531513285603
-5.0         , 0.2867145680506686    , 0.2864616056447418    , 0.0038333827956378613
-5.0         , 0.4482307935582765    , 0.442533861446252     , 0.05555182057048183
-5.0         , 0.2511210435293038    , 0.2488640899284851    , 0.03920873189310904
-5.0         , 0.05697616519233211   , 0.056959694174889254  , 0.0012556664910106197
-5.0         , 0.07973432926851516   , 0.07866411720162639   , 0.058686720499054115
-5.0         , 0.2767197934189937    , 0.2733810875892667    , 0.052717578640849666
-5.0         , 0.0027497984284558723 , 0.0028542101465018816 , -0.16185086266646265
-5.0         , 0.05708490157072637   , 0.055432495834022856  , 0.12756823522883434
-5.0         , 0.018909673581817738  , 0.018549145195172295  , 0.08360131419649955
